,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
0,bitcoin,1,BTC,Bitcoin,19422250.0,21000000.0,585635150633.7072,6304596646.568068,30152.796438811525,-3.0192685295857045,30345.19703861948,https://blockchain.info/
1,ethereum,2,ETH,Ethereum,120210439.53162764,,223807193250.82028,3354843369.9301987,1861.7949832213708,-4.160305386011206,1877.5272367082698,https://etherscan.io/
2,tether,3,USDT,Tether,83357268873.15366,,83378555626.8365,11374157174.8864,1.0002553676958303,0.0192962007987708,1.0002307139944768,https://www.omniexplorer.info/asset/31
3,binance-coin,4,BNB,BNB,166801148.0,166801148.0,39054524414.414185,238511296.8591714,234.13822316387285,-3.2761411183235687,236.18660026195607,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
4,usd-coin,5,USDC,USD Coin,27526590313.868435,,27526540368.069115,921910426.1885713,0.9999981855435508,0.0023060773439261,1.0005884996562946,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
5,xrp,6,XRP,XRP,45404028640.0,100000000000.0,21132249874.816868,384425438.6406996,0.4654267585453815,-3.0033278320371957,0.46867417366925,https://xrpcharts.ripple.com/#/graph/
6,cardano,7,ADA,Cardano,34957612524.907,45000000000.0,9854904677.120142,97397933.05305262,0.2819101181494762,-2.9760484630457085,0.2826452654252608,https://cardanoexplorer.com/
7,dogecoin,8,DOGE,Dogecoin,140072216383.70526,,9175510211.986652,118122973.34334333,0.065505568833521,-3.568586521680247,0.0658380856315244,http://dogechain.info/chain/Dogecoin
8,solana,9,SOL,Solana,401965399.6845039,,8004022222.988336,296295919.24480504,19.91221689546056,-0.7520791043872866,20.045440912983796,https://explorer.solana.com/
9,litecoin,10,LTC,Litecoin,73307201.72743528,84000000.0,7076172510.970039,415828217.92483956,96.52765818670959,-7.368829612028877,98.44847143245416,http://explorer.litecoin.net/chain/Litecoin
10,tron,11,TRX,TRON,89863678441.01433,,7009883848.259515,59322526.26335601,0.0780057523781506,-0.6091737944820006,0.077806181125284,https://tronscan.org/#/
11,polkadot,12,DOT,Polkadot,1250551896.38456,,6412544180.123467,54555476.069889195,5.127771345325706,-3.2687431215468328,5.120420534709649,https://polkascan.io/polkadot
12,polygon,13,MATIC,Polygon,9319469069.28493,10000000000.0,6220740037.646037,133842120.59481156,0.6674994027447688,-3.0718873720660915,0.6726734633168953,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
